id|name|address|phone|email|hours|cuisines|diningType|priceRange|rating
R035|Mediterranean Grill|2424 Pinewood St, Waukesha|262-555-1350|mediterraneangrill@email.com|11am-10pm|Mediterranean|Casual Dining|$$|4.4
R036|Veggie Garden|2525 Maple St, Milwaukee|414-555-1360|veggiegarden@email.com|9am-9pm|Vegetarian|Casual Dining|$$|4.3
R037|BBQ Express|2626 Elm St, Waukesha|262-555-1370|bbqexpress@email.com|11am-10pm|American|Fast Food|$|4.0
R038|Dumpling House|2727 Cedar St, Milwaukee|414-555-1380|dumplinghouse@email.com|10am-9pm|Chinese|Casual Dining|$$|4.2
R039|Bagel Corner|2828 Birchwood Ave, Milwaukee|414-555-1390|bagelcorner@email.com|7am-3pm|American|Fast Food|$|3.9
R040|Pizza Hub|2929 Walnut St, Waukesha|262-555-1400|pizzahub@email.com|10am-11pm|Italian|Fast Casual|$$|4.1
R041|Noodle House|3030 Oakwood Dr, Milwaukee|414-555-1410|noodlehouse@email.com|11am-9pm|Asian|Casual Dining|$$|4.3
R042|Taco Express|3131 Pinewood St, Milwaukee|414-555-1420|tacoexpress@email.com|9am-9pm|Mexican|Fast Food|$|3.8
R043|Burger Express|3232 Maple St, Waukesha|262-555-1430|burgerexpress@email.com|10am-10pm|American|Fast Casual|$$|4.0
R044|Pasta Express|3333 Elm St, Milwaukee|414-555-1440|pastaexpress@email.com|11am-10pm|Italian|Casual Dining|$$|4.2
R045|Curry Express|3434 Cedar St, Milwaukee|414-555-1450|curryexpress@email.com|10am-9pm|Indian|Casual Dining|$$|4.5
R046|Dragon Palace|3535 Birch St, Waukesha|262-555-1460|dragonpalace@email.com|11am-10pm|Chinese|Fine Dining|$$$|4.7
R047|Bagel World|3636 Walnutwood Ave, Milwaukee|414-555-1470|bagelworld@email.com|7am-3pm|American|Fast Food|$|3.9
R048|Sandwich Express|3737 Oakwood Dr, Waukesha|262-555-1480|sandwichexpress@email.com|8am-8pm|American|Fast Casual|$$|4.1
R049|Pho House|3838 Pinewood St, Milwaukee|414-555-1490|phohouse@email.com|10am-9pm|Vietnamese|Casual Dining|$$|4.3
R050|Crepe World|3939 Maple St, Milwaukee|414-555-1500|crepeworld@email.com|9am-8pm|French|Casual Dining|$$|4.2
